Review,Star Rating,Length,Valence,Internal Consistency,Argument Quality,Objectivity,Completeness,Template Flag,Spam Flag,CREDIBILITY
it was good maganda at mura ko lang nabili sa uulitin for sure order ulit napakabilis din naship,5,18,POSITIVE,CONSISTENT,LOW,MODERATE,LOW,0,0,LOW
Thank you seller receive kona,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Skin Type Compatibility very very good I am a morena having an oily type of skin on my face and dry on the other areas but this sunscreen is very smooth to blend this is the very first sunscreen I had that blends well on my face it feels like I didn t put anything on it very good,5,59,POSITIVE,CONSISTENT,HIGH,HIGH,HIGH,0,0,HIGH
good water resistant convenient niceeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,5,5,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,1,LOW
Skin Type Compatibility hggyhhhhhggffgvhhjhhbbb bhgvfredfygjkknhfdddghjjknvfddfgghbbhhgfddddddfghhhjjj,5,5,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,1,LOW
First time buying from this shop and it did not disappoint The product itself is effective it doesn t leave a white cast and also smells good Thank you seller,5,30,POSITIVE,CONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
ok nman Yung order k ngustuhan Ng Asawa k try muna nya,5,12,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
SPF Level good Water Resistance ok Skin Type Compatibility malambot sa skin ok naman po na dumating ang item kahit hindi po sya nka bubble wrap buo hindi nabasag at walang tagas mabait din po ang rider na naghatid Thank you seller sa good na item nyo,5,47,POSITIVE,CONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
very good,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
legit nga wlang White Cast and moisturizing rin sa face ty seller ito na yung bago kung gagamitin na sunscreen Protects my skin from the sun Leaves no white cast on my face Keeps my skin moisturized all day Feels lightweight on my skin,5,44,POSITIVE,CONSISTENT,LOW,MODERATE,HIGH,1,0,LOW
Water Resistance Good Skin Type Compatibility Good SPF Level Good,5,10,POSITIVE,CONSISTENT,LOW,HIGH,HIGH,0,0,MODERATE
satisfying,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Ok,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
SPF Level cool,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
SPF Level ilike it somuch,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
ty po legit,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Skin Type Compatibility higly recommended,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
very good,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
i saw this from mz niece thats why i bought for her kala ko buy 1take 2 pag dating isa lng man pala quite disappointed but its ok i just misunderstood,5,31,MIXED,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
thank u ang gand nya gamitin at ang bango hindi nag mamantika sa mukha sobrang ganda nya,5,17,POSITIVE,CONSISTENT,MODERATE,LOW,MODERATE,0,0,MODERATE
Skin Type Compatibility hiyang Kayko Water Resistance yesss SPF Level 50,5,11,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
Very good quality thankyou seller for the very fast delivery and good item,5,13,POSITIVE,CONSISTENT,LOW,MODERATE,LOW,0,0,LOW
ok nman gstu Ng Asawa k,5,6,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
hindi sya mabango para syang amoy kopiko,5,7,NEGATIVE,INCONSISTENT,MODERATE,MODERATE,LOW,0,0,LOW
fake sayang lang Pera ko baho pa amoy glue,1,9,NEGATIVE,CONSISTENT,MODERATE,MODERATE,LOW,0,0,MODERATE
ok sya not sticky on my face,5,7,POSITIVE,CONSISTENT,MODERATE,MODERATE,LOW,0,0,MODERATE
Skin Type Compatibility,5,3,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
SPF Level,5,2,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
bakit ganon iba ang amoy nya,5,6,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
I love it,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Good quality,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Hindi kopo alam kung dito ba or sa Nag deliver ang problem kasi delivered napo kahapon pa yung order ko pero paanong may proof of delivery kung wala nmn kaming natatanggap dito tinanong ko nadin mga kapit bahay kung may na received ba silang parcel ko pero wala po tinatawagan at nag txt nadin ako sa R der diman sumagot sa tawag kopo,1,63,NEGATIVE,CONSISTENT,HIGH,MODERATE,LOW,0,0,MODERATE
hindi sya maganda amoy paste sya sayang naman pera dina makakaulet dito,1,12,NEGATIVE,CONSISTENT,MODERATE,LOW,LOW,0,0,LOW
sticky and bad smell,1,4,NEGATIVE,CONSISTENT,MODERATE,HIGH,MODERATE,0,0,MODERATE
I don t like the texture,1,6,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
