Review,Star Rating,Length,Valence,Internal Consistency,Argument Quality,Objectivity,Completeness,Template Flag,Spam Flag,CREDIBILITY
good day nagustuhan ko dahil sakto presyo at okey Naman Ang lakas Ng hangin sana lang ay tumagal sana lang ay matibay maraming salamat po,5,25,POSITIVE,CONSISTENT,LOW,MODERATE,LOW,0,0,LOW
Price super sale Energy Efficiency matipid Noise Level Hindi sya maingay,5,11,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
Price its good Energy Efficiency quality Noise Level so good Sulit talaga binayad kasi sobrang ganda ng item,5,18,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
videos and photo are not related to the item the item is nice a bit small than I expected it to be but I still like Properly working hope it last,5,31,MIXED,INCONSISTENT,LOW,MODERATE,LOW,0,0,LOW
thank you po seller thank den po raider,5,8,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
ay maganda Naman siya kaya lang walang on and off dapat tlga nakasaksak siya and Hindi siya rechargeable mahina rin Ang hangin,5,22,MIXED,INCONSISTENT,MODERATE,MODERATE,HIGH,0,0,MODERATE
Sleek and stylish green color Durable and long lasting materials Compact and portable fan Convenient USB charging,5,17,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Versatile for indoor and outdoor use Retractable design for easy storage Compact and portable fan,5,15,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Wala naman syang switch on and off sira Akala pwede e charge e hnd Naman aandar kung hnd na sasaksak sa kuryente pero on Naman po nagagamit NAMIn salamat na rin po,5,32,MIXED,INCONSISTENT,MODERATE,MODERATE,MODERATE,0,0,MODERATE
good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Adjustable 3 speed settings Durable and long lasting materials Compact and portable fan,5,13,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Price Quiet and noiseless operation Oscillating feature for wider coverage,5,10,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Sleek and stylish black color Sleek and stylish black color,5,10,POSITIVE,CONSISTENT,LOW,HIGH,LOW,1,0,LOW
Retractable design for easy storage Fast and efficient cooling Versatile for indoor and outdoor use Versatile for indoor and outdoor use Fast and efficient cooling,5,25,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Versatile for indoor and outdoor use,5,6,POSITIVE,CONSISTENT,LOW,HIGH,LOW,1,0,LOW
Material naka deric n Aung charger Nia paano un Edi wala lng Sana sinabi nio kung naka deric na pra alam umaasa pa nmn ako na magagamit ko Pag walang kuryente un pala di,5,34,NEGATIVE,INCONSISTENT,MODERATE,MODERATE,LOW,0,0,LOW
thankkkkkkkkkkkkkkkkkkkkkkkkkkkkkku seller4rrrrrr4rerrrrrerreerrrereer r gggghh,5,4,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,1,LOW
wala syang pindutan para buksan ang portable fan kailangan nakasaksak para mabuksan,1,12,NEGATIVE,CONSISTENT,MODERATE,HIGH,LOW,0,0,MODERATE
very perfect and nays,5,4,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
simple and useful product very nice just right for its price Retractable design for easy storage very handy,4,18,POSITIVE,CONSISTENT,LOW,HIGH,LOW,1,0,LOW
Fast and efficient cooling Compact and portable fan Convenient USB charging Retractable design for easy storage Fast and efficient cooling Compact and portable fan Convenient USB charging Retractable design for easy storage,5,32,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Durable and long lasting materials Fast and efficient cooling Convenient USB charging Versatile for indoor and outdoor use,5,18,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
good quality no problem,5,4,POSITIVE,CONSISTENT,LOW,MODERATE,LOW,0,0,LOW
pinalobat ko muna pagka recieve ko 2hrs charging tapos magagamit mo lang sya 20minutes lobat agad hay naku naman sayang ang pera sa pagkain nalang sana nabusog pa anak ko,5,30,NEGATIVE,INCONSISTENT,HIGH,MODERATE,LOW,0,0,MODERATE
super nice thank u seller en lazada,5,7,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
WALANG ON OFF BUTTON IISA LANG ANG SPEED KASI WALANG SPEED BUTTON KAILANGANG NAKASAKSAK PALAGI PARA UMANDAR HINDI RECHARGEABLE ANG MAGANDA LANG DITO AY FOLDABLE SYA YUN LANG,3,28,MIXED,CONSISTENT,HIGH,HIGH,HIGH,0,0,HIGH
Retractable design for easy storage Fast and efficient cooling Versatile for indoor and outdoor use Fast and efficient cooling Retractable design for easy storage Adjustable 3 speed settings,5,28,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
ok naman Yong product Yong rider lng talaga napaka tamad ninjavan may complete address nman nka lagay Pero tinamad ihatid iniwan lng sa labas sa guard Indi ko tuloy Alam kung saan nah guard apaka Rami pa nman guard sa SM eh NASA 3rd floor pa address ki,5,48,MIXED,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Compact and portable fan Adjustable 3 speed settings Quiet and noiseless operation Fast and efficient cooling Durable and long lasting materials,5,21,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Fast and efficient cooling Versatile for indoor and outdoor use Fast and efficient cooling Oscillating feature for wider coverage Adjustable 3 speed settings Versatile for indoor and outdoor use Fast and efficient cooling,5,33,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
Retractable design for easy storage Retractable design for easy storage Retractable design for easy storage Retractable design for easy storage,5,20,POSITIVE,CONSISTENT,LOW,HIGH,MODERATE,1,0,LOW
very usuable malakas power at matagal malowbat maganda din quality ng pgkakagawa kaya matibay,5,14,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,1,0,LOW
Compact and portable fan Adjustable 3 speed settings Convenient USB charging Durable and long lasting materials,5,16,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,1,0,LOW
not good,5,2,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
