Review,Star Rating,Length,Valence,Internal Consistency,Argument Quality,Objectivity,Completeness,Template Flag,Spam Flag,CREDIBILITY
Battery Life Perfect Speed Settings Perfect Portability Perfect,5,8,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
ang ganda nya pagka dating binuksan ko na agad bumili na kayo ito na lagi ko bibilhin dumating sya ng wla sira thanyou po oorder po ulit pag may pera na ulit ako HEHEHE,5,34,POSITIVE,CONSISTENT,LOW,MODERATE,LOW,0,0,LOW
the green fan is working the pink is not even it has battery charged,5,14,MIXED,INCONSISTENT,LOW,HIGH,LOW,0,0,LOW
Uusisjajahahjahahajssjjsjsnsnsjsjsksyddhfjfkkdkdmdndbdbdbdbdbdndbdndjdjddfghhhhhhhhhjsjjsjsjjjjjjsnsnsnsnsnsnsjsjsjsjjsjssjjsjsdjjsjsjdjdjdjjddjjddjdjjdjdjdjdjdjdjd,5,1,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,1,LOW
nice sya woth it naman ang bayad at ang pag antay kyutie masyadi ang color pink and malakas din sya Portability nice sya Battery Life matagal malowbat Speed Settings malakas,5,30,POSITIVE,CONSISTENT,MODERATE,MODERATE,HIGH,0,0,MODERATE
maganda sya at higit sa lahat mura pa magaan din sana nga lang magtagal pwedeng pwede gamitin ng mga bata,5,20,POSITIVE,CONSISTENT,MODERATE,MODERATE,LOW,0,0,MODERATE
Portability good Battery Life goood Speed Settings good thank you po seller ngustohan ko po legit a legit,5,18,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
maganda ang item at mura tamang tama para sa baby ko cute ang kulay pink sana magtagal,5,17,POSITIVE,CONSISTENT,MODERATE,LOW,LOW,0,0,LOW
Portability SOBRANG LAKAS NYA KAHIT NASA MALAYO ABOT PADIN YUNG HANGIN AT MATAGAL PA MA LOWBAT THANK YOU SELLER SA UULITIN,5,21,POSITIVE,CONSISTENT,MODERATE,MODERATE,LOW,0,0,MODERATE
greathabahababababababsbsbsbsbsbsbzbzbzbzbxbxbx,5,1,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,1,LOW
When it came I immediately tried it Nun una ginawa ko syang 100 percent like deretsohan and it lasted 2 hours But kapag mga nasa 5 percent yan malakas na yun hangin naglalast sya more than 4 hrs So is it worth it sa murang presyo Definitely yes It doesn t look like rich vibes but it is an essential tool especially tag init ngaun I m satisfied with this product that s why I just bought 2 now If you re having doubts na baka mabilis malowbat or pangit gamitin you should press that order button now I sincerely recommend it,5,102,POSITIVE,CONSISTENT,HIGH,MODERATE,HIGH,0,0,HIGH
Portability ok Naman so far since 1st day palang cia nagagamit Ewan ko nlng kung how cia tatagal Battery Life Hanggang 97 lng Ang charge nya I tried pa for 5mins pero Hindi na tumaas pa pero I always use ung 100 na volume everytime I turned it on Speed Settings ok Naman so far wala Naman akong issue,5,59,MIXED,INCONSISTENT,HIGH,MODERATE,MODERATE,0,0,MODERATE
cutie malakas and very matagal ma lowbat ginawan ko kaagad ng sombrero HWHHAJAIHSHS,5,13,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
bzjzjzjzjdjdjdjnxnxnxxncncbcncncncncncncncnnccncncnc cncnncncncncncncncncncnccncncncncnccncncncn,5,2,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,1,LOW
ang ganda po at malakas ung hangin nya kahit 86 po ung battery hindi ko pa po na tetesting kung tumatagap ang battery 5 stars ka sa kin sulit ang binayad ko 16 11 pesos ko lang po nakuha thano you po Lazada,5,43,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
grabe sobrang gnda nya malakas din kahit hindi pa nakatodo sa 100 bibili ulit ako sulit na sulit,5,18,POSITIVE,CONSISTENT,MODERATE,LOW,LOW,0,0,LOW
3items purchase but this item is not functioning po so sad pano kaya ito,5,14,NEGATIVE,INCONSISTENT,LOW,MODERATE,LOW,0,0,LOW
Good fan no damage thank u lazada and alvin rider ingat lagi,5,12,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Speed Settings fast Battery Life matagal malobat Portability quality,5,9,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
dalawa naka lagay sa resibo pero iisa nmn laman ano baga yan,5,12,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Portability 10 Battery Life 10 Speed Settings 10,5,8,POSITIVE,CONSISTENT,LOW,HIGH,HIGH,0,0,MODERATE
Portability 10 Battery Life 10 Speed Settings 10,5,8,POSITIVE,CONSISTENT,LOW,HIGH,HIGH,0,0,MODERATE
ayos very usefull matagal malowbat malakas din hangin,5,8,POSITIVE,CONSISTENT,LOW,MODERATE,MODERATE,0,0,MODERATE
Battery Life matagal ma lowbat Ang Ganda,5,7,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
thank u seller legit po maganda po sana tumagal sakin,5,10,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Nice product and it is functional,5,6,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Ang ganda bibili ako ulit,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Ok nmn po sya gngmt na ng pamangkn ko,5,9,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
pink order ko white dumating,5,5,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Ang Ganda po salamat po,5,5,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
Portability,5,1,NEUTRAL,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Goooooooodddddddd,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
its good,5,2,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
nice,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
I give 5 star to this item durable at napaka tgal Po mam low bat I used it almost 40 min straight then I charge it it s the 100 percent so matagal Po cya ma lowbat,5,37,POSITIVE,CONSISTENT,MODERATE,HIGH,LOW,0,0,MODERATE
mganda mlkas hangin thank you ky seller at kay rider at maayos nkarating item ko,5,15,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
akala ko sira ang naipadala lowbat lng pla yong charger nia nag not working buti nlng compatible sya sa charger ng cellphone thanks,5,23,POSITIVE,CONSISTENT,MODERATE,MODERATE,LOW,0,0,MODERATE
so sad it s not even charging how to fix this,5,11,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
Hindi soya nag chacharge kaya irereturn ko,5,7,NEGATIVE,INCONSISTENT,LOW,LOW,LOW,0,0,LOW
maganda sya at malakas matagal ma lobat,5,7,POSITIVE,CONSISTENT,LOW,LOW,MODERATE,0,0,LOW
VERY GOOD ANG GANDA NIYA AHH,5,6,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
goods po sya,5,3,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
ok,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
good,5,1,POSITIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
mabaho un hangin Amoy sunog n kuryente ktkot bka bgla sumabog,1,11,NEGATIVE,CONSISTENT,MODERATE,LOW,LOW,0,0,LOW
the item is broken when i opened it,1,8,NEGATIVE,CONSISTENT,LOW,HIGH,LOW,0,0,MODERATE
Unit arrived but not working,1,5,NEGATIVE,CONSISTENT,LOW,HIGH,LOW,0,0,MODERATE
pumutok ung battery haysss,1,4,NEGATIVE,CONSISTENT,LOW,MODERATE,LOW,0,0,LOW
diko po narecive yong orderko,1,5,NEGATIVE,CONSISTENT,LOW,LOW,LOW,0,0,LOW
