Review,Star Rating,Length,Valence,Review Quantity,Internal Consistency,Review Quality,Credibility
Easy to use and set up  Perfect for on-the-go use  maganda ang quality   super like it,5,18,,577,,,
👜Portability:10/10  🎧Sound Quality:Loud and Clear  🔋Battery Life:Matagal malowbat,5,12,,577,,,
🔋Battery Life:Rechargeable built-in battery    🎧Sound Quality:Great sound quality    👜Portability:Wireless Bluetooth connection ,5,15,,577,,,
Stylish design  Excellent value for money ,5,6,,577,,,
kala ko Malaki maliit pala piro okie Ang tonug hahhahahaha,5,10,,577,,,
Quality:Perfect for on-the-go use  Versatile speakers with multiple variations  Great sound quality  Rechargeable built-in battery    Material:Excellent value for money    Functionality:Convenient mobile phone holder ,5,29,,577,,,
Functionality:Great sound quality  Excellent value for money  Easy to use and set up  Convenient mobile phone holder  Wireless Bluetooth connection  Perfect for on-the-go use  Versatile speaker with multiple variations  Compact and portable speaker ,5,36,,577,,,
🎧Sound Quality:Rechargeable built-in battery  Perfect for on-the-go use  Compact and portable speaker  Wireless Bluetooth connection   got if for free ang cute nya maliit very handy okay naman sounds malakas sya actually thank you,5,37,,577,,,
Compact and portable speaker ,5,4,,577,,,
nice Ang ganda galing nmn o balance walang binayaran😍😍 thanks po,5,11,,577,,,
good condition po nakapakaganda  po . slamat seller at kuya rider.,5,10,,577,,,
🎧Sound Quality:Excellent value for money  Easy to use and set up ,5,12,,577,,,
pinang regalo ko to pero meron Kasi ako nito kaya natuwa aq pang regalo Kasi maayos Naman Ang tubig at nakaka tuwa. safe at walang sira naman.,5,27,,577,,,
Stylish design  Convenient mobile phone holder  Rechargeable built-in battery  Loud.,5,11,,577,,,
🎧Sound Quality: very good quality,5,5,,577,,,
leget maganda at malakas kait maliit,5,6,,577,,,
Great sound quality  Great sound quality  Great sound quality  Perfect for on-the-go use ,5,15,,577,,,
maliit lng pero malakas  ..yung fm di makuha walang signal,5,10,,577,,,
Great sound quality  Rechargeable built-in battery  Perfect for on-the-go use ,5,13,,577,,,
Wireless Bluetooth connection  Convenient mobile phone holder  Great sound quality  Versatile speaker with multiple variations ,5,15,,577,,,
Perfect for on-the-go use  Easy to use and set up  Versatile speaker with multiple variations ,5,17,,577,,,
Versatile speaker with multiple variations  Perfect for on-the-go use  Versatile speaker with multiple variations  Perfect for on-the-go use  Versatile speaker with multiple variations  Perfect for on-the-go use ,5,33,,577,,,
Goods po sya uulit ako sa shop na to kasi maganda ang pacakging nila 💛💛💛💛  🤣🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈,5,14,,577,,,
🎧Sound Quality:goodWireless BluetoothPerfect for on-the-go use   connection  Great sound quality  Rechargeable built-in battery  Versatile speaker with multiple variations ,5,22,,577,,,
Great sound quality  Compact and portable speaker  Rechargeable built-in battery  Rechargeable built-in battery ,5,15,,577,,,
Quality:OK na OK smooth sound hindi masakit sa tenga   Material:OK good   Functionality:all good,5,16,,577,,,
ok naman sya  kaya lang pag full volume basag boses  pero ok lang  ,5,13,,577,,,
goods na goods hindi basag ang tunog ayos din ang pag balot at ang bait ni kuyang rider🥰,5,18,,577,,,
👜Portability:10  🎧Sound Quality:10  🔋Battery Life:excellent value for money ,5,11,,577,,,
good po sya maganda po tsa ....mablis dn dumating salamat kuya rider kaht naulan...,5,14,,577,,,
ganda mya sobrang sulit order ko dito,5,7,,577,,,
berry good item sobrang po legit Wala damage at safe Yung pag delivered Salamat po sa seller and Kay kua rider Ang Ganda po sobrang order napo kayo Ang mura lang po nyan legit pa   Functionality:good   Quality:good   Material:good,5,41,,577,,,
ang ganda niya po,5,4,,577,,,
okay nmn  cute size,5,4,,577,,,
Functionality:ok xa at malakas kht maliit  Quality:maganda cute Ng kulay  Material:maganda at mukhang matibay,5,17,,577,,,
Excellent value for money ,5,4,,577,,,
good,5,1,,577,,,
Functionality:10/10  Quality:Nice,5,5,,577,,,
🎧Sound Quality:good  👜Portability:verryyy gooooodddd  ang cute nya.. tama lang ang sound nya.. hnd din sabog at hnd sobrang lakas..,5,21,,577,,,
superrr gandaaaaaStylish design  Compact and portable speaker  Rechargeable built-in battery  Easy to use and set up ,5,17,,577,,,
ok naman sya. mallakas pero  pag naag full ng volume nababbabsag yong tunog nya. at may something naa kumakalog sa loob. pero because it's free ko nakuha. nat bad.Wireless Bluetooth connection  Excellent value for money ,5,37,,577,,,
Versatile speaker with multiple variations  Perfect for on-the-go use  Easy to use and set up  Convenient mobile phone holder ,5,21,,577,,,
Great sound quality ,5,3,,577,,,
seller thank you sa uulit ako sayu nalang ako order no issue item ko maganda pa gamitin hehe 😁✌🏻 thank you ulit seller,5,22,,577,,,
ok nmn po xa un l g Po Isa Medio  basag Po un tunog pero ok nrin malaks nmn xa at midio matagal dn po xa bago malobat slmt po KY seller at ky kuya suking rider n mabait 🥰,5,39,,577,,,
🥰  Convenient mobile phone holder   thank you seller and rider.....,5,9,,577,,,
Wireless Bluetooth connection  Versatile speaker with multiple variations  Convenient mobile phone holder  Perfect for on-the-go use  Stylish design  Excellent value for money ,5,24,,577,,,
sobra lliit pla ng speaker hehe pero ok lng kc ndi q nmn n check ung size nya eh,5,19,,577,,,
👜Portability:super cute hehe Convenient mobile phone holder ,5,8,,577,,,
Wireless Bluetooth connection  Perfect for on-the-go use  Rechargeable built-in battery  Versatile speaker with multiple variations ,5,18,,577,,,
Excellent value for money  Perfect for on-the-go use    🎧Sound Quality:Perfect,5,13,,577,,,
🎧Sound Quality:awesome.   🔋Battery Life:7hours,5,6,,577,,,
🔋Battery Life:Compact and portable speaker  Perfect for on-the-go use ,5,12,,577,,,
Convenient mobile phone holder  Compact and portable speaker ,5,8,,577,,,
Compact and portable speaker  Perfect for on-the-go use    🎧Sound Quality:good 💯  🔋Battery Life:good 👍  👜Portability:good 👍😊,5,18,,577,,,
THE PACKAGING & THE MOST IMPORTANT WHICH IS THE PRODUCT WAS ALL IN GOOD CONDITION & COMPLETE. GOD BLESS YOU ALL!,5,19,,577,,,
Excellent value for money  Versatile speaker with multiple variations  Rechargeable built-in battery  Great sound quality  Compact and portable speaker  Wireless Bluetooth connection  Wireless Bluetooth connection  Convenient mobile phone holder  Wireless Bluetooth connection  Compact and portable speaker  Convenient mobile phone holder  Compact and portable speaker  Compact and portable speaker  Compact and portable speaker  Compact and portable speaker ,5,57,,577,,,
Excellent value for money  Perfect for on-the-go use  Compact and portable speaker  Great sound quality ,5,17,,577,,,
👜Portability:ok  🎧Sound Quality:malakas sya khit maliit😊  🔋Battery Life:ok nmn,5,12,,577,,,
bakit Hindi ito bluetooth  ibabalik ko Nalang ito,5,8,,577,,,
I RECIEVED THE PRODUCT IN GOOD CONDITION AS WELL AS THE PACKAGING  THUMBS UP TO THIS STORE. I RECOMMEND THIS STORE FOR THERE GOOD PRODUCT SELLING. GOD BLESS YOU ALL! I JUST WONDERED 'CAUSE I HAVE TO PAY AT LEAST 5PHP BUT THE TOTAL THAT THE RIDER THAT TOLD ME IS 0PHP. ANYWAY THANK YOU  ITS GOOD DOING BUSINESS WITH YOU ALL!,5,62,,577,,,
👜Portability:Compact and portable speaker    🎧Sound Quality:Convenient mobile phone holder  Great sound quality    🔋Battery Life:Rechargeable built-in battery ,5,20,,577,,,
Rechargeable built-in battery  Rechargeable built-in battery  Rechargeable built-in battery  Versatile speaker with multiple variations  Stylish design  Great sound quality ,5,22,,577,,,
Stylish design  Great sound quality  Perfect for on-the-go use  Easy to use and set up  Convenient mobile phone holder ,5,21,,577,,,
Perfect for on-the-go use  Compact and portable speaker ,5,10,,577,,,
🎧Sound Quality:good sounds  🔋Battery Life:good too,5,8,,577,,,
ang cute hehehe legit store💯% ThankyouSeller/Rider😊  🎧Sound Quality:✅  🔋Battery Life:✅,5,11,,577,,,
Convenient mobile phone holder  Compact and portable speaker  Easy to use and set up  hgjv,5,15,,577,,,
Stylish design  Perfect for on-the-go use  Convenient mobile phone holder    🎧Sound Quality:10/10  🔋Battery Life:10/10,5,20,,577,,,
so cute... thanks seller and to kuya rider,5,8,,577,,,
🎧Sound Quality:malakas ung sound,5,5,,577,,,
Excellent value for money  Compact and portable speaker  Great sound quality  Stylish design ,5,13,,577,,,
super Ganda at sulit nang bili namin .bait pa ni kuya rider ... God bless 😇,5,14,,577,,,
salamat seller and sa rider kahit maliit ang speaker malakas nman ang sound,5,13,,577,,,
The sound is a bit low  but it's easy to use and easy to carry around  and it's battery life lasts long,5,24,,577,,,
maganda po sya salamat po sa seller at sa rider maganda po pagkabalot kaya walang damage Akala ko talaga Hindi totoo Kasi nakuha kolang ng 34 pesos legit pala talaga na speaker,5,32,,577,,,
Perfect for on-the-go use  Great sound quality ,5,9,,577,,,
🔋Battery Life:Great sound quality  Convenient mobile phone holder ,5,9,,577,,,
Perfect for on-the-go use  Great sound quality  Excellent value for money ,5,13,,577,,,
Perfect for on-the-go use ,5,6,,577,,,
salamat seller. nice items Ligeti lakas Ng tunog,5,8,,577,,,
ayos maganda pagkapacked aalamat sa seller at sa nagdeliver salamat lazad sa uulitin po like it,5,16,,577,,,
Perfect for on-the-go use ,5,6,,577,,,
🎧Sound Quality:Easy to use and set up  Compact and portable speaker ,5,12,,577,,,
Excellent value for money  Great sound quality  Compact and portable speaker  Versatile speaker with multiple variations ,5,16,,577,,,
Excellent value for money ,5,4,,577,,,
Excellent value for money  Compact and portable speaker ,5,8,,577,,,
Great sound quality ,5,3,,577,,,
ang ganda po ng tunog nya at ang lakas po kahit maliit sya sulit yng bayad kasi sobrang nagustuhan ko yng tunog malakas kahit dipa naka max volume  satisfied buyer here 👍👍👍👍👍,5,31,,577,,,
nice,5,1,,577,,,
🎧Sound Quality：,5,2,,577,,,
nami Kag tunog sya 🥰🥰Versatile speaker with multiple variations  Rechargeable built-in battery ,5,13,,577,,,
Functionality:5 ⭐️   Quality:5 ⭐️   Material:5 ⭐️  Easy to use and set up  Versatile speaker with multiple variations  Convenient mobile phone holder  Perfect for on-the-go use ,5,27,,577,,,
Excellent value for money  Perfect for on-the-go use  Compact and portable speaker  Rechargeable built-in battery ,5,18,,577,,,
Great sound quality ,5,3,,577,,,
