Review,Star Rating,Length,Valence,Review Quantity,Internal Consistency,Review Quality,Credibility
order received not satisfied sa mga mo order Dre Ani nga shop scammer kayo ni lahi Ang niabot,5,18,,67,,,
whyy one delivery I said 25 PC's whyy???,5,9,,67,,,
nakakadesmaya   24 PCs. Yung order ko Kasi 1 set sya pero ito lang ang dumating Wala pang kahit Isang brush lang.,2,21,,67,,,
okay lng  nag expect ako kala ko po kasi set but its okay kase super ganda nung eyeshaddow hihihi,5,19,,67,,,
Not satisfied sa order nung dumating defective,5,7,,67,,,
Long-lasting formula.  Love the variety of shades.  Blends well with skin.  Great for beginners! ,5,15,,67,,,
maganda sha,5,2,,67,,,
🎨Color Variety:6   🌈Pigmentation:6  🖌️Blendability:8,5,7,,67,,,
Nice very nice,5,3,,67,,,
🤏👍,5,0,,67,,,
Ang pangit kala ko complete na Yun pala iisa lang nag dating fake😒,5,13,,67,,,
Sira-sira yung product tapos isa lang,2,7,,67,,,
scam,5,1,,67,,,
okieee namn ung item,5,4,,67,,,
Impressive pigmentation. ,5,2,,67,,,
I received an item that is damaged,1,7,,67,,,
kala ko set isa lang dumating🥹,5,6,,67,,,
panget ng quality,5,3,,67,,,
good,5,1,,67,,,
🌈Pigmentation：,5,1,,67,,,
sira Siya,1,2,,67,,,
,5,0,,67,,,
,5,0,,67,,,
scam kayo,5,2,,67,,,
okay namn sya  pero bakit dalawang eye shadow lang eh sa picture ang rami,1,14,,67,,,
25 pcs ang nakalagay pero 1 pc lang dumating🤦🏼‍♀️,1,9,,67,,,
sorry wala ako ipakita na picture,1,6,,67,,,
isang piraso lmg pala,1,4,,67,,,
missing item,2,2,,67,,,
