Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
🎧Sound Quality:okay  🎧Comfort:okay  🔋Battery Life:goodddd matalaga malowbat kaya sulit na den and affordable,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality:good  🎧Comfort:smooth  🔋Battery Life:good performance  This is not my order  but it's good.,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Comfort:9/10  🎧Sound Quality:7/10  🔋Battery Life:7/10   Good for its price but medyo tunog lata and battery is sufficient,5,,,MODERATE,HIGH,TS,4,High RIQ,0,0,
Iba yung dumating.. hindi naman yan ung order ko..  Jdjdkdkubbndodkxhsjjjd Hhdijdndkcjhshd Ksidjdjxjdk Ksidj Ksidjdjxjdj,5,,,LOW,LOW,OS,0,Low RIQ,0,1,
wrong item order ko dimd green na for both side ng ear ang magagamit binigay sakin pang 1pc na iba ng earphone pareplace po neto thanks,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Sound quality is great and the audio is also great from both sides and really comfortable to the ears.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Sobrang ganda niya  maliit tas sobrang comfy gamitin matagal rin bago siya malowbat very nice.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
hay naku Mali ang order blue order ko white dumating ang box nya yupe yupe haissst naku,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
🎧Sound Quality:okay  🎧Comfort:it is comfortable   🔋Battery Life:okay,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
love the item  🎧Sound Quality:good  🎧Comfort:sure  🔋Battery Life:😍💃,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Comfort: nice sound my ears,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
mali naman dumating sakin na earpods,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
🎧Sound Quality:good,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
nice guys  legit,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
good,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
Ito yung earpods na matagal ko ng hinahanap na kahit matagal na nakasuot sa tainga hindi masakit pag tumagal   Maganda naman malakas yung sounds hindi ngarag ❤️❤️ kaso madali lang tlga malobat ... Thanks seller for fast delivery ❤️ oorder ako ulet,5,,,HIGH,HIGH,TS,5,High RIQ,0,0,
🎧Sound Quality:it's not what I am expecting so good and beautiful,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
super ganda at cute nagustuhan ko lalo at fav.color ko pink,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
maganda sya Ang cute at Ang lakas ng sound. worth the price😍,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Very nice product I will order again soon,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
maganda ung product at pati packing,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
maganda ung product at pati packing,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
maganda ung product at pati packing,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
ang daya dalawa binili ko yung isa naman sira🥺,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Good and perfect sana mag tagal,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
🎧Comfort:Affordable and good,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
not true too colour 1 item missing,2,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
I like it,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
thank you,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
i didn't get it,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
nice,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
Ang ganda,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
dai po sya gagana,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
