Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
Sobrang ganda nya at maganda ipang game at manuod ng video dahil sa full screen thank you seller and rider Performance: very good Best Feature: wireless charging and gaming Product Quality: high quality,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
100% legit!!! ang ganda ng quality  magaan gamitin at matagal malowbat,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
scam,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
The phone was received in pristine condition. Definitely trusted brand.Thankful because the rider delivered it without any inconveniences.Thankyouu,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
complete set na may case pa ng phone mabilis pa mag charge ng cellphone overall maganda sya  legit na legit talaga na cellphone,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
sobrang smooth gamitin  matagal pa malowbat and magaan lang sya thank you so much seller,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Epekto ng came: Napakahusay ng pakuha bg litrato. Kung madalas kang kumuha ng litrato ngunit hinde madalas malinis mas mabuti na pumili ng mas malaking memorya mobile phone kung kinakailanganako  erokominda ito sa iba buhay ng baterya  ok mabilis belis nang pagpapatakbo Maari mo ring ipakita ang epekto ng hitsura ay napakaganda,5,,,HIGH,HIGH,OS,4,High RIQ,1,0,
akala ko talaga cp na d pala tapos yng dumating sira pa,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
maraming salamat sa cellphone nabudol nyo ako,5,,,LOW,MODERATE,TS,2,Moderate RIQ,0,0,
i thought it was a cellphone but it is only a stand phone,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
scam stand Ng phone Ang dmting,5,,,LOW,MODERATE,OS,1,Low RIQ,0,0,
scam naman ehh,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
SCAMMER FRAUD SENT CELL PHONNE STAND THIEF CRIMINAL REPORT TO NBI DOING FRAUDALANT TRANSACTIONS SENDING CELL PHONE STAND IN PLACE OF A CELL PHONE AND LIES DECIET FULL VIOLATIONS OF THE LAW ODF THE REPUBLIC OF THE PHILIPPINE ISLANDS AND ALL CRIMINALS ARE UNDER LAW IN THE SPIRIT SPIRTUALY PHYSICALY AND MATERIALY FULLY PHYSICALY FULLY MATERIALY FULLY SPIRITUALY UNDER GOD AND THE RULE OF LAW IN ALL LANGUGES AND ALL DIALECTS WORLDWIDE LOCALY AND INTERNATIONALY IN THE KINGDOM OF HEAVEN AND FROM THE KINGDOM OF HEAVEN FULLY PHYSICALY FULLY MATERIALY FULLY SPIRITUALY IT SOVERIEGN LAW OF THE REPUBLIC OF THE PHILIPPINE ISLANDS ABSOLUTE TRUTH JUSTICE,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
🔋Battery Life:not the item that i want  📸Camera Quality:not the item that i want  ⚡Performance:not the item that i want   The item that i buy is not a cellphone but a microphone stand so where is the cellphone that i buy? 🤔,2,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Puryagaba scam siya 😥😥😥nakkaaiyak😥😥😥,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
stand lang namn ang dumating ang Dami pang alikabok,1,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
iba yung dumating. SCAM,1,,,LOW,LOW,OS,0,Low RIQ,0,0,
mga scammer,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
