Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
order received not satisfied sa mga mo order Dre Ani nga shop scammer kayo ni lahi Ang niabot,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
whyy one delivery I said 25 PC's whyy???,5,,,MODERATE,LOW,OS,1,Low RIQ,0,0,
nakakadesmaya   24 PCs. Yung order ko Kasi 1 set sya pero ito lang ang dumating Wala pang kahit Isang brush lang.,2,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
okay lng  nag expect ako kala ko po kasi set but its okay kase super ganda nung eyeshaddow hihihi,5,,,MODERATE,HIGH,TS,4,High RIQ,0,0,
Not satisfied sa order nung dumating defective,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Long-lasting formula.  Love the variety of shades.  Blends well with skin.  Great for beginners! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
maganda sha,5,,,LOW,HIGH,OS,2,Moderate RIQ,0,0,
🎨Color Variety:6   🌈Pigmentation:6  🖌️Blendability:8,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Nice very nice,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
🤏👍,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
Ang pangit kala ko complete na Yun pala iisa lang nag dating fake😒,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Sira-sira yung product tapos isa lang,2,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
scam,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
okieee namn ung item,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Impressive pigmentation. ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
I received an item that is damaged,1,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
kala ko set isa lang dumating🥹,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
panget ng quality,5,,,LOW,HIGH,OS,2,Moderate RIQ,0,0,
good,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
🌈Pigmentation：,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
sira Siya,1,,,LOW,LOW,OS,0,Low RIQ,0,0,
scam kayo,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
okay namn sya  pero bakit dalawang eye shadow lang eh sa picture ang rami,1,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
25 pcs ang nakalagay pero 1 pc lang dumating🤦🏼‍♀️,1,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
sorry wala ako ipakita na picture,1,,,LOW,LOW,OS,0,Low RIQ,0,0,
isang piraso lmg pala,1,,,LOW,LOW,OS,0,Low RIQ,0,0,
missing item,2,,,LOW,HIGH,OS,2,Moderate RIQ,0,0,
