Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
sorry late review. kung nagtatanong kayo kung legit dito be mas legit pa sa legit haha so far so good naman 2 months na yung ip16 ko at wala nman naging problema.,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
100% legit hindi bato ang laman kundi Iphone.. Ambilis ng shipping I ordered March 3 dumating ng March 4...49+++ ko lang nabili 256gb na. ganda ng teal color,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
legit pa sa legit!! got it for 42k hehe. so ganda ng kulay💚  1. fast delivery - 2 days lang after the order has been confirmed.  2. discrete rin packaging - no products mentioned 3. took me 1 month bago magreview - so far  naabot 24hrs batt kung di mo lagi gagamitin haha. pero up to 10hrs kung soafer gamit ka 4. bnew  with 🍎 warranty (para sa hesitant),5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Legit na legit tong shop na to. Got it at a lower price ang 256 gb for only 52k thanks to the vouchers. Sleek design  love the pink color!  Impressed with the fast delivery. ,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
🔋Battery Life:good  ⚡Performance:100% leget po ang item firts nag hassitate ako..but when i look at the review,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
📸Camera Quality:  the best feature ni iphone 16 Impressed with the fast delivery. Akala ko 2025 pa dadating pero dec 30 dumating na sya😍,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Happy with what I bought. Delivery is very quick. 2 days after placing the order item was delivered. overall happy with my purchase. Thank you!,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🔋Battery Life:10/10  📸Camera Quality:9/10  ⚡Performance:10/10  1 day delay for guaranteed delivery timeframe of 48hrs.  original phone.,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Item as advertised  packed well and delivered within 24 hours from time of order. 100% legit and working unit. Nice pink color.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Got this for 54800 only (cheaper compared to the 61990 SRP)! The phone arrived within 24 hours  discrete packaging. Item is legit!  So happy with this purchase since the ip16 256 Pink is always sold out in physical stores near me. The pink is super vibrant  it's giving girlypop. Seller also included a free tempered glass hihi,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
I’ve been using the iPhone 16 since early February and it’s been amazing. Battery life is solid (I charge it twice a day between 20% and 80%)  the Action Button is super handy  and the low-light camera is impressive. Performance is smooth  but the 60Hz display feels a bit outdated for the price. Switching from Android to my first iPhone has been a huge upgrade—I’m loving it!,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
⚡Performance:  Sleek design  love the black color!  Impressed with the fast delivery.   Very fast delivery,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Sleek design  love the black color!  Impressed with the fast delivery.  Sleek design  love the black color!  Impressed with the fast delivery. ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🔋Battery Life: 10/10  📸Camera Quality: 10/10  ⚡Performance: 10/10  super legit. thanks seller,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Very fast delivery. Ordered evening of 3/7 and received it afternoon of 3/8. Got the 256gb variant for only 48 790 during Lazada’s 3.3 sale. Item was packed very secure and discreet.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
🔋Battery Life:  💯💯💯  📸Camera Quality:  super ganda talaga!!!  ⚡Performance:  ang ganda and smooth  Impressed with the fast delivery.  Waterproof feature is a game-changer! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Impressed with the fast delivery.  Sleek design  love the black color!  Waterproof feature is a game-changer! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🔋Battery Life:  Kaya magtagal maghapon 10/10  mabilis din magcharge   📸Camera Quality:  so nice  ⚡Performance:  super fast I-swipe  no lag lalo na from android galing,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Waterproof feature is a game-changer!  Impressed with the fast delivery.    📸Camera Quality:  💯 🔋Battery Life:  💯 ⚡Performance:  💯,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,1,0,
Impressed with the fast delivery.  Sleek design  love the black color!  legit item and seller!,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Sleek design  love the pink color!  Waterproof feature is a game-changer!  Impressed with the fast delivery. ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
I was worried when I placed the order but the seller proved that this is a trust worthy shop. Really. All original and super safe. Thank you for making my order worth while and my brother is pretty happy with the unit.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Impressed with the fast delivery.  Waterproof feature is a game-changer!  Sleek design  love the black color! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🔋Battery Life:  100 percent  📸Camera Quality:  Super ganda  ⚡Performance:  Best phone. Ganda grabe  Sulit ang bili. Bet na bet ng anak ko. Kaya lang wala manlang kahit akong freebies. Mas ok pa din bumili aa store mismo.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Waterproof feature is a game-changer!  Impressed with the fast delivery.  Sleek design  love the black color! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🔋Battery Life:10Sleek design  love the black color!    📸Camera Quality:10  ⚡Performance:10  Waterproof feature is a game-changer!  Impressed with the fast delivery. ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Very nicely and securely packed. Phone is functional and operational. hope to buy again in the future,5,,,,,,0,Low RIQ,0,0,
Waterproof feature is a game-changer!  Impressed with the fast delivery.  Sleek design  love the black color! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Very nice magenta-ish color Super fast delivery - ordered 3.3  received 3.4 Packed securely in a box and with bubble wrap,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Sleek design  love the black color!  Impressed with the fast delivery.  Waterproof feature is a game-changer! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Waterproof feature is a game-changer!  Impressed with the fast delivery.  Sleek design  love the black color! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Waterproof feature is a game-changer!  Sleek design  love the black color!  Impressed with the fast delivery. ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,22,0,
Waterproof feature is a game-changer!  Impressed with the fast delivery.  Sleek design  love the black color! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Impressed with the fast delivery.  Waterproof feature is a game-changer!  Sleek design  love the black color! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Impressed with the fast delivery.  Waterproof feature is a game-changer!  Sleek design  love the black color! ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
